variant,side,gate,rsi_n,th,exit,period,N,Win,AvgPct,PF,Hold,Stops,CAR,MaxDD,Sharpe,CapUsed,CorrSPY
S-spyregime-rsi2<5-sma5,S,spyregime,2,5,sma5,IS,416,0.6899038461538461,0.012474860055173983,2.170228222460685,4.992788461538462,0.04807692307692308,0.06756651825397353,-0.0948793431080619,0.7852243563245652,0.11256613756613756,-0.35709692990240116
S-spyregime-rsi2<5-sma5,S,spyregime,2,5,sma5,OOS,89,0.3707865168539326,-0.024261908921523995,0.2838846698788739,7.179775280898877,0.1348314606741573,-0.027501284520750513,-0.09681896375817822,-0.9608644524806415,0.0358974358974359,-0.18309173896783365
S-spyregime-rsi2<5-rsi,S,spyregime,2,5,rsi,IS,410,0.6731707317073171,0.012626481667814916,1.8621238660254624,6.560975609756097,0.07073170731707316,0.058561690913730535,-0.1345087003136307,0.6283788211195949,0.13796296296296298,-0.4007111501011675
S-spyregime-rsi2<5-rsi,S,spyregime,2,5,rsi,OOS,84,0.34523809523809523,-0.038226092896951884,0.184024503622093,9.071428571428571,0.2619047619047619,-0.0455166538758226,-0.1540882681619068,-1.4235956764973396,0.0391304347826087,-0.194729149465044
S-spyregime-rsi2<5-chan,S,spyregime,2,5,chan,IS,400,0.5975,0.012105255801336869,1.5688035445697253,10.445,0.0775,0.03313943620059545,-0.14343173475911553,0.34142800742967794,0.1793650793650794,-0.4713753956530605
S-spyregime-rsi2<5-chan,S,spyregime,2,5,chan,OOS,83,0.30120481927710846,-0.05028127078693028,0.14969611382269252,11.19277108433735,0.27710843373493976,-0.059877363375121284,-0.19796917135520398,-1.4897823198085371,0.04793756967670011,-0.25347868912532573
S-spyregime-rsi2<5-sma5+choch,S,spyregime,2,5,sma5+choch,IS,436,0.6536697247706422,0.009853356225375757,2.014346875606368,4.224770642201835,0.034403669724770644,0.0607124678721318,-0.07520325186599885,0.7471704922168677,0.10529100529100528,-0.3438208438167707
S-spyregime-rsi2<5-sma5+choch,S,spyregime,2,5,sma5+choch,OOS,93,0.3978494623655914,-0.019412645804441048,0.3077793536327556,6.150537634408602,0.0967741935483871,-0.020965577668276558,-0.07290960726506945,-0.8040172537480706,0.03166109253065775,-0.1596378861740576
S-spyregime-rsi2<5-time5,S,spyregime,2,5,time5,IS,421,0.5700712589073634,0.012414797590322926,1.8508935221579372,7.0736342042755345,0.0332541567695962,0.05467978727579492,-0.15498036294582052,0.5819282231053767,0.14378306878306882,-0.4074473395473478
S-spyregime-rsi2<5-time5,S,spyregime,2,5,time5,OOS,92,0.25,-0.02690718813868542,0.18793129493051156,7.1521739130434785,0.05434782608695652,-0.04789812009874839,-0.16085289330968622,-1.3176297670218078,0.0379041248606466,-0.204896283369401
S-spyregime-rsi2<10-sma5,S,spyregime,2,10,sma5,IS,814,0.6474201474201474,0.006523855540517804,1.4515165155379592,5.335380835380835,0.07248157248157248,0.009862501563715709,-0.14567822073458314,0.14239456720919705,0.16706349206349205,-0.45094006378140267
S-spyregime-rsi2<10-sma5,S,spyregime,2,10,sma5,OOS,164,0.4024390243902439,-0.024266136456384715,0.26986316618759987,7.262195121951219,0.18292682926829268,-0.07039555432960842,-0.22970340883843343,-1.5971745878237216,0.06220735785953177,-0.2456436061627173
